country,year,Population,GDP_USD,gdp_per_capita,NOx,SOx
Germany,1990,79433029.0,1778162195860.0654,22385.677825027487,3041.1406323041,5571.881122559999
Germany,1991,80013896.0,1875792575132.587,23443.33508185362,2790.960169594,4058.59716748
Germany,1992,80624598.0,2141377582968.0647,26559.85438796315,2618.465184783,3313.4457191
Germany,1993,81156363.0,2078954217437.596,25616.65087724047,2547.193157412,3002.14574934
Germany,1994,81438348.0,2215282632276.7266,27201.959355520405,2409.952559723,2507.90121298
Germany,1995,81678051.0,2593053091306.128,31747.244939844702,2354.158216232,1834.8058996
Germany,1996,81914831.0,2506576553158.305,30599.78910483628,2269.00013963,1561.2170167
Germany,1997,82034771.0,2218790886532.822,27046.95654642373,2205.85745878,1317.38090235
Germany,1998,82047195.0,2247760364565.9663,27395.94406080508,2173.37760134,1066.2870575299999
Germany,1999,82100243.0,2213873468586.8774,26965.49227737216,2147.70309457,890.15661382
Germany,2000,82211508.0,1966980701145.1023,23925.855990199118,2084.48922129,740.03463791
Germany,2001,82349925.0,1966381496641.7344,23878.36414716509,2028.4094766500002,722.59314256
Germany,2002,82488495.0,2102350798305.886,25486.59420087475,1979.9327318599999,666.85582833
Germany,2003,82534176.0,2534715518349.014,30711.102251133085,1923.40091167,645.04327739
Germany,2004,82516260.0,2852317768061.784,34566.73591437353,1877.28965521,614.69435698
Germany,2005,82469422.0,2893393187361.866,35084.43635462689,1858.90388511,592.7011743300001
Germany,2006,82376451.0,3046308753670.584,36980.33499489538,1940.29579204,543.24732176
Germany,2007,82266372.0,3484056680854.913,42350.92172114887,1899.28994777,532.10751996
Germany,2008,82110097.0,3808786022312.499,46386.329592479946,1870.41690402,528.08835837
Germany,2009,81902307.0,3479800820863.279,42487.21371014957,1731.5398936000001,464.7792393
Germany,2010,81776930.0,3468154343000.007,42409.93569946936,1745.32254589,450.11533807
Germany,2011,80274983.0,3824828563521.408,47646.58204314298,1713.9320048,426.18046641
Germany,2012,80425823.0,3597896500945.313,44735.58823197014,1716.30232645,420.730131
Germany,2013,80645605.0,3808086291482.364,47220.010209885135,1707.07553638,405.94362049
Germany,2014,80982500.0,3965800686309.79,48971.082472259935,1626.67635391,381.00170233
Germany,2015,81686611.0,3423568450957.0293,41911.01098510537,1609.07091728,351.54382698
Germany,2016,82348669.0,3537784107980.553,42961.035690577504,1627.37543498,327.97710356
Germany,2017,82657002.0,3763092263752.948,45526.599957653285,1530.40336273,318.68958727
Germany,2018,82905782.0,4052008447223.5264,48874.85950284536,1433.37821379,304.0750118
Germany,2019,83092962.0,3957208055215.68,47623.86560748285,1321.14616733,267.66688977
Germany,2020,83160871.0,3940142541354.0967,47379.76519454801,1112.20609809,244.85161068
Germany,2021,83196078.0,4348297440387.527,52265.65416205709,1118.04184193,255.83056444000002
Germany,2022,83797985.0,4163596357879.3936,49686.11545825826,1131.02996636,255.66484947
Germany,2023,83901923.0,4525703903627.531,53940.40734474621,1043.73614005,225.92586083
Greece,1990,10196792.0,96529587274.29063,9466.662385021744,601.050823107,667.2312021324
Greece,1991,10319927.0,103680863712.84352,10046.666387547462,584.644858307,646.5998695604999
Greece,1992,10399061.0,114608178405.4344,11021.012224607048,618.818790674,679.5063908245
Greece,1993,10460415.0,107295704518.43044,10257.308578907285,642.0256417960001,698.7826517540001
Greece,1994,10512922.0,114980063202.2472,10937.022380861115,663.832865756,725.426928145
Greece,1995,10562153.0,134974613913.81088,12779.081491606008,667.50604954,726.872005164
Greece,1996,10608800.0,142502984144.96036,13432.526218324443,643.471870665,703.2447046899999
Greece,1997,10661259.0,138766067640.08487,13015.91750468541,659.615370294,738.255980534
Greece,1998,10720509.0,139612812175.71774,13022.964877480888,713.787642315,793.7245387090001
Greece,1999,10761698.0,137131371955.30724,12742.540438814323,671.662478351,754.1558412703
Greece,2000,10805808.0,125760166224.80498,11638.201069721485,688.5819359249999,777.317619876
Greece,2001,10862132.0,132050474720.03008,12156.957282422094,701.421723247,792.135861706
Greece,2002,10902022.0,150253800085.8646,13782.195640942991,656.115242512,752.587261372
Greece,2003,10928070.0,196930509813.3843,18020.612039764048,664.13833799,769.590260251
Greece,2004,10955141.0,234979615898.22452,21449.25527642452,667.73770945,775.213056502
Greece,2005,10987314.0,242315668619.40533,22054.131575688592,672.084331081,771.729011663
Greece,2006,11020362.0,269073415333.6761,24416.023297027456,679.400151777,746.483260865
Greece,2007,11048473.0,314226996944.10803,28440.762532895544,686.523857609,737.449764364
Greece,2008,11077841.0,351121399546.4851,31695.83310922093,653.1470684220001,660.419217195
Greece,2009,11107017.0,326829054686.306,29425.457320026253,602.947840215,572.490634583
Greece,2010,11121341.0,296417644404.0339,26653.048800862583,547.04653764,406.56072720689997
Greece,2011,11104899.0,283228079776.04144,25504.786651012444,535.10366094,337.66226660890004
Greece,2012,11045011.0,238841140018.23288,21624.346052551045,461.76925269000003,286.9016410769
Greece,2013,10965211.0,236556279640.70535,21573.344976280478,439.64254900599997,255.6357999919
Greece,2014,10892413.0,233911581521.06232,21474.725712389198,416.764160199,219.42562086889998
Greece,2015,10820883.0,194567373678.09912,17980.72982381374,400.095744041,212.4212675485
Greece,2016,10775971.0,193097239005.8701,17919.24263770477,399.240248569,185.514673173
Greece,2017,10754679.0,200381103984.298,18631.99301292935,436.380185546,221.7362566023
Greece,2018,10732882.0,213298873494.3936,19873.401523877143,433.707882121,222.7641714375
Greece,2019,10721582.0,207305649887.0193,19335.360200296866,452.044425846,231.08409045180002
Greece,2020,10698599.0,191362985554.86124,17886.733165236048,351.14725620900003,108.9139062628
Greece,2021,10569207.0,218303801895.326,20654.7001960815,361.864045755,100.0304021423
Greece,2022,10436882.0,218880566444.3491,20971.83492582833,383.92404811700004,100.3540997748
Greece,2023,10405588.0,243498333237.80237,23400.727881769137,380.51120510100003,97.8124559857
Sweden,1990,8558835.0,261469578630.80356,30549.669275176297,339.924997557,136.3196931797
Sweden,1991,8617375.0,273834608019.8429,31777.03279941315,351.223568851,139.6220788361
Sweden,1992,8668067.0,283912173666.6781,32753.80470255688,343.497809599,137.5980152534
Sweden,1993,8718561.0,212647043708.40503,24390.15380042705,329.671507177,125.7373511949
Sweden,1994,8780745.0,228701658890.61688,26045.814892770133,344.226396111,131.9336877762
Sweden,1995,8826939.0,267052836695.49857,30254.29729326311,333.405159319,121.27578051649999
Sweden,1996,8840998.0,291952430659.1112,33022.564947883846,331.072531558,117.862551492
Sweden,1997,8846062.0,268251974485.58597,30324.45109310628,335.389245838,118.43956293160001
Sweden,1998,8850974.0,270889570937.9992,30605.622718810293,341.52517205099997,121.7716693677
Sweden,1999,8857874.0,274320415375.6778,30969.1033509483,336.255681154,112.5090732629
Sweden,2000,8872109.0,262905197441.66248,29632.773610159937,329.704985314,106.01540596699999
Sweden,2001,8895960.0,242499249692.616,27259.48067354349,317.051211975,102.4035980674
Sweden,2002,8924958.0,267373345246.5313,29957.93876526156,294.93887796900003,94.4718805831
Sweden,2003,8958229.0,334074051172.9716,37292.42143430041,322.306655099,114.50520707919999
Sweden,2004,8993531.0,384547211147.2465,42758.20155034174,341.492720891,124.86821895430002
Sweden,2005,9029572.0,391690329314.4746,43378.61521171487,335.559795444,122.7924211946
Sweden,2006,9080505.0,422530427475.5361,46531.60011205721,341.18799577,110.69427142149999
Sweden,2007,9148092.0,490050156832.57385,53568.56455232127,333.990503225,85.01753622119999
Sweden,2008,9219637.0,514616528348.8341,55817.43927107261,321.994877886,79.0028245521
Sweden,2009,9298515.0,434313804907.3663,46707.8673215418,315.816946732,80.1015926344
Sweden,2010,9378126.0,492753255885.7183,52542.82741410365,307.849879657,67.0490544809
Sweden,2011,9449213.0,570541353128.7235,60379.77481603214,281.451581713,52.6840084396
Sweden,2012,9519374.0,549742183874.3553,57749.825132866434,263.4050146,51.0930970867
Sweden,2013,9600379.0,584128116410.29,60844.27671139754,252.40260072,61.197204613699995
Sweden,2014,9696110.0,577730245154.1624,59583.71400016732,255.837030395,59.977411248200006
Sweden,2015,9799186.0,501698263620.6632,51197.95293411751,239.254693372,48.333051353600005
Sweden,2016,9923085.0,514218206628.3252,51820.39724826757,249.288658733,65.955058603
Sweden,2017,10057698.0,536083940228.68365,53300.85872817852,260.668437027,76.8937576443
Sweden,2018,10175214.0,551312498430.1636,54181.90697809045,233.35650475,49.3897647179
Sweden,2019,10278887.0,532169294165.9397,51773.04645589933,241.515970262,56.3217541428
Sweden,2020,10353442.0,545147614972.1406,52653.75659342474,242.408970973,32.0376356902
Sweden,2021,10415811.0,637186904843.6361,61174.96802156223,211.88253028776,27.4923011821
Sweden,2022,10486941.0,579895717343.956,55296.93714725353,202.40965228713998,25.9659723001
Sweden,2023,10536632.0,585489968189.0636,55567.0890080496,170.27971424228,22.7217458662
